"strain","stack","window","target","colocalizes","dataset"
"MKY0583","14","x988y257","Abp1","0","3"
"MKY3487","13","x779y422","Rvs167","0","3"
"MKY3487","09","x329y831","Rvs167","0","3"
"MKY0578","10","x488y202","Sla1","1","3"
"MKY3497","15","x222y984","Myo5","0","3"
"MKY3487","11","x241y454","Rvs167","0","3"
"MKY3487","15","x465y795","Rvs167","0","3"
"MKY3497","09","x418y415","Myo5","0","3"
"MKY0578","04","x1193y134","Sla1","1","3"
"MKY0583","09","x894y324","Abp1","0","3"
"MKY3487","10","x1160y480","Rvs167","1","3"
"MKY3487","08","x1069y349","Rvs167","0","3"
"MKY0583","06","x1290y336","Abp1","0","3"
"MKY0578","03","x259y650","Sla1","1","3"
"MKY0578","02","x805y408","Sla1","1","3"
"MKY0578","12","x304y488","Sla1","1","3"
"MKY3497","15","x6y776","Myo5","0","3"
"MKY0583","05","x913y130","Abp1","0","3"
"MKY3487","03","x258y691","Rvs167","0","3"
"MKY3496","15","x1007y464","Pan1","1","3"
"MKY3487","07","x1226y311","Rvs167","0","3"
"MKY0578","10","x1197y510","Sla1","1","3"
"MKY3487","04","x59y564","Rvs167","0","3"
"MKY0578","07","x1036y458","Sla1","0","3"
"MKY0578","03","x205y374","Sla1","1","3"
"MKY3487","03","x1076y616","Rvs167","0","3"
