"strain","stack","window","target","colocalizes","dataset"
"MKY0578","12","x155y278","Sla1","1","2"
"MKY3454","12","x269y773","Ent1","1","2"
"MKY3497","02","x789y435","Myo5","1","2"
"MKY0583","12","x5y421","Abp1","0","2"
"MKY0583","03","x161y495","Abp1","0","2"
"MKY3471","14","x894y691","Syp1","1","2"
"MKY3471","15","x1286y69","Syp1","1","2"
"MKY3497","02","x633y29","Myo5","0","2"
"MKY0583","07","x469y817","Abp1","0","2"
"MKY3454","13","x479y899","Ent1","1","2"
"MKY0583","02","x115y87","Abp1","1","2"
"MKY3483","14","x597y261","End3","1","2"
"MKY3472","14","x189y425","Sla2","1","2"
"MKY3487","04","x1254y745","Rvs167","0","2"
"MKY3454","04","x943y251","Ent1","1","2"
"MKY0583","13","x121y263","Abp1","0","2"
"MKY3471","08","x201y399","Syp1","1","2"
"MKY3485","13","x1141y99","Las17","1","2"
"MKY3454","08","x797y619","Ent1","1","2"
"MKY3487","03","x831y93","Rvs167","0","2"
"MKY0578","14","x105y71","Sla1","1","2"
"MKY3454","01","x625y829","Ent1","1","2"
"MKY3471","01","x617y57","Syp1","1","2"
"MKY3471","04","x983y687","Syp1","1","2"
"MKY3483","03","x1179y727","End3","1","2"
"MKY3471","09","x761y137","Syp1","1","2"
"MKY3472","10","x615y627","Sla2","1","2"
"MKY3471","15","x352y691","Syp1","1","2"
"MKY3485","15","x539y145","Las17","1","2"
"MKY3454","02","x31y872","Ent1","1","2"
"MKY0583","14","x577y849","Abp1","0","2"
"MKY3485","05","x211y425","Las17","1","2"
"MKY3472","06","x653y699","Sla2","1","2"
"MKY3471","03","x157y429","Syp1","1","2"
"MKY0583","06","x343y307","Abp1","0","2"
"MKY3472","10","x225y845","Sla2","1","2"
"MKY3471","11","x321y201","Syp1","1","2"
"MKY0583","11","x131y833","Abp1","0","2"
"MKY0583","07","x755y309","Abp1","0","2"
"MKY3487","15","x590y859","Rvs167","0","2"
"MKY3454","11","x61y213","Ent1","1","2"
"MKY0578","03","x401y897","Sla1","0","2"
"MKY3471","05","x615y275","Syp1","1","2"
"MKY3471","07","x1235y907","Syp1","1","2"
"MKY0578","13","x263y819","Sla1","1","2"
"MKY3487","05","x877y545","Rvs167","0","2"
"MKY3471","05","x1053y647","Syp1","1","2"
"MKY3472","02","x565y721","Sla2","1","2"
"MKY3487","15","x132y139","Rvs167","0","2"
"MKY3471","02","x1028y651","Syp1","1","2"
"MKY3483","10","x327y279","End3","1","2"
"MKY3471","09","x173y529","Syp1","1","2"
"MKY3496","12","x549y268","Pan1","1","2"
"MKY3454","10","x27y369","Ent1","1","2"
"MKY3497","14","x1183y71","Myo5","0","2"
"MKY3487","07","x60y461","Rvs167","0","2"
"MKY3497","03","x227y137","Myo5","0","2"
"MKY3472","01","x1227y609","Sla2","1","2"
"MKY3485","14","x871y861","Las17","1","2"
"MKY3496","10","x187y417","Pan1","0","2"
"MKY3487","15","x130y869","Rvs167","0","2"
"MKY3497","08","x831y126","Myo5","1","2"
"MKY0578","02","x897y33","Sla1","1","2"
"MKY3487","10","x815y697","Rvs167","0","2"
"MKY3485","01","x423y875","Las17","1","2"
"MKY3485","04","x847y558","Las17","1","2"
"MKY3483","14","x1207y859","End3","1","2"
"MKY3471","14","x253y871","Syp1","1","2"
"MKY3487","13","x1099y847","Rvs167","1","2"
"MKY3485","05","x1131y333","Las17","1","2"
"MKY3487","12","x157y691","Rvs167","0","2"
"MKY3496","06","x217y717","Pan1","1","2"
"MKY3454","14","x793y453","Ent1","1","2"
"MKY3496","07","x761y13","Pan1","1","2"
"MKY3471","13","x875y55","Syp1","1","2"
"MKY0578","11","x897y809","Sla1","1","2"
"MKY0583","07","x429y617","Abp1","0","2"
"MKY3496","02","x1269y607","Pan1","1","2"
"MKY3454","01","x717y239","Ent1","1","2"
"MKY0578","04","x731y155","Sla1","1","2"
"MKY3472","04","x761y131","Sla2","1","2"
"MKY3483","07","x1155y842","End3","1","2"
"MKY0583","01","x812y333","Abp1","0","2"
"MKY0583","15","x161y835","Abp1","0","2"
"MKY3471","09","x23y783","Syp1","1","2"
"MKY0578","09","x1119y825","Sla1","1","2"
